Laptop Name,Weight,Graphic Card,Operating System,RAM,CPU,Screen Size,Memory Speed,Color,Brand,Price,Storage,CPU Rank,Graphic Card Rank,RAM Rank,Weight Rank,Color Rank,Brand Rank,Operating System Rank,Memory Speed Rank,Screen Size Rank,Storage Rank
Hp 15 Fc0059Nt,1.5,Shared,FreeDos,16,AMD Ryzen 7,15.6,3200,Black,hp,17499,512,2,3,4,2,3,3,3,3,4,3
Lenovo Loq,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,15.6,4800,Grey,lenovo,38999,512,4,4,2,1,4,2,3,4,2,2
Hp Victus 16 S1019Nt,3.0,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 7,16.1,5600,Blue,hp,51199,512,3,3,2,2,2,2,3,4,3,2
Msi Katana 17 B12Vfk,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,17.3,4800,Black,msi,47670,512,2,4,3,2,3,4,3,3,3,4
Msi Thin 15 B12Uc,3.0,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i7,15.6,3200,Grey,msi,33242,512,3,2,3,4,3,4,2,3,3,4
Acer Nitro V15 Anv15,3.0,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 7,15.6,5600,Black,acer,39499,512,2,3,3,4,3,4,3,3,3,2
Lenovo Ideapad Slim 3 16Irh10,1.0,Intel UHD Graphics,FreeDos,16,Intel Core i5,16.0,4800,Grey,lenovo,19799,512,4,2,3,3,4,2,4,4,1,1
Lenovo Ideapad Slim 3,1.0,Intel UHD Graphics,Windows 11 Home,4,INTEL N100,15.6,4800,Grey,lenovo,8999,128,3,3,2,2,4,2,4,4,3,2
Lenovo Loq,3.0,Nvidia GeForce RTX 4050,FreeDos,24,AMD Ryzen 7,15.6,4800,Grey,lenovo,37999,512,4,2,2,2,1,2,5,4,3,4
Lenovo Loq 15Arp9,3.0,Nvidia GeForce RTX 3050,FreeDos,16,AMD Ryzen 5,15.6,4800,"Grey, Black",lenovo,28999,512,3,2,3,2,2,3,3,4,2,3
Monster Tulpar T7 V20,3.0,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,17.3,3200,Black,monster,57899,1024,3,4,4,4,4,3,4,4,4,1
Msi Katana 17 B13Vfk,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,17.3,5200,Black,msi,56999,1024,4,4,4,3,4,2,3,4,2,3
Hp Victus 16 S1011Nt,1.5,Nvidia GeForce RTX 4060,FreeDos,32,AMD Ryzen 7,16.1,5600,Blue,hp,49599,1024,2,3,2,2,3,3,1,3,2,2
Acer Nitro 5 An515,3.0,Nvidia GeForce RTX 4060,FreeDos,8,Intel Core i7,15.6,4800,Black,acer,40963,1024,2,2,3,3,4,4,3,2,2,4
Asus Tuf Gaming A15,3.5,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 7,15.6,4800,Grey,asus,49616,512,2,3,1,2,4,2,4,3,2,4
Hp Victus 15 Fa1085Nt,3.5,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,3200,Silver,hp,42570,1024,3,3,3,1,4,2,4,3,4,4
Hp Victus 16 R1041Nt,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,16.1,5600,Blue,hp,51499,1024,3,4,3,4,3,2,4,3,2,2
Lenovo Loq 15Iax9 ,1.0,Nvidia GeForce RTX 3050,FreeDos,12,Intel Core i5,15.6,4800,Black,lenovo,30299,1024,3,2,3,3,3,2,4,3,3,3
Lenovo Loq,1.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,15.6,4800,Grey,lenovo,39999,512,2,4,4,3,3,3,4,3,3,2
Hp Omen 17 Db0015Nt,3.0,Nvidia GeForce RTX 4070,FreeDos,32,AMD Ryzen 7,17.3,5600,Black,hp,65399,1024,3,2,2,3,1,4,4,4,2,1
Msi Katana 17 B13Vfk,3.0,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,17.3,5200,Black,msi,59999,1024,3,3,3,3,3,3,3,3,2,3
Msi Crosshair 17 Hx,3.0,Nvidia GeForce RTX 4070,Windows 11 Home,32,Intel Core i7,17.0,5600,Dark Grey,msi,109999,1024,3,2,3,3,3,2,4,2,3,4
Dell Vostro 3530,1.5,Intel Iris Xe Graphics,Linux,16,Intel Core i5,15.6,2666,Black,dell,18756,512,3,2,3,3,1,2,3,3,4,3
Asus Tuf Gaming A15 Fa507Nvr,3.0,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 7,15.6,4800,"Black, Grey",asus,45999,512,4,2,3,4,2,3,3,3,4,3
Lenovo Loq 15Irx9,3.0,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,15.6,4800,Grey,lenovo,57999,1024,3,3,3,3,3,2,3,4,1,3
Casper Excalibur G870 1270,3.0,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i7,15.6,3200,Grey,casper,41999,1024,4,5,3,2,1,3,2,3,3,3
Hp Victus Gaming 16 S0005Nt,3.0,Nvidia GeForce RTX 4070,FreeDos,16,AMD Ryzen 7,16.1,5600,Black,hp,54999,1024,5,2,3,3,4,2,4,2,3,4
Dell Inspiron 3530 I5,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i5,15.6,2666,Black,dell,17783,512,2,3,4,3,3,2,3,3,3,3
Msi Sword 16 Hx,3.0,Nvidia GeForce RTX 4070,FreeDos,32,Intel Core i7,16.0,5600,"Dark Gray, Black",msi,83243,1024,3,3,4,4,4,3,4,3,3,3
Lenovo Loq,3.0,Nvidia GeForce RTX 3050,FreeDos,16,AMD Ryzen 5,15.6,4800,Grey,lenovo,31999,512,4,4,3,4,3,2,2,2,2,3
Hp Victus 16 R0020Nt,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,16.1,5200,Black,hp,49999,1024,3,3,3,3,3,2,2,3,3,3
Asus Tuf Gaming F15 Fx507Zc4,3.0,Nvidia GeForce RTX 3050,FreeDos,8,Intel Core i5,15.6,3200,Metallic Grey,asus,30999,512,3,2,2,3,3,3,3,3,4,4
Hp Victus B10Fpea,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,3200,Silver,hp,41599,512,2,3,3,2,1,3,3,2,4,2
Casper Nirvana C550 1255,1.5,Shared,FreeDos,16,Intel Core i7,15.6,3200,Dark Grey,casper,18999,512,3,3,2,2,2,1,3,3,4,5
Hp Victus 16 R1021Nt,3.0,Nvidia GeForce RTX 4070,FreeDos,32,Intel Core i7,16.1,5600,Blue,hp,66999,1024,3,2,1,5,3,3,3,3,2,4
Acer Nitro 5 Nh,3.0,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i5,15.6,3200,Black,acer,27599,512,3,3,3,2,5,3,2,4,3,2
Casper Excalibur G770 1245,3.0,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i5,15.6,3200,Black,casper,31299,512,3,3,2,2,3,3,3,4,2,4
Onda Oliver Book,1.5,Intel HD Graphics 600,Windows 11 Pro,8,Intel Pentium,10.1,2400,White,onda,5409,128,2,3,3,3,4,2,4,4,4,3
Lenovo Ideapad Slim 3 15Iah8,1.0,Intel UHD Graphics,FreeDos,8,Intel Core i5,15.6,4800,Grey,lenovo,16789,256,4,3,3,2,3,4,3,3,1,2
Dell Latitude 5290 2,1.0,Shared,Windows 10 Pro,16,Intel Core i5,12.3,2400,"Dark Gray, Black",dell,16999,256,3,3,4,3,4,3,3,3,3,2
Casper Excalibur G870 1245,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,3200,Grey,casper,37799,1024,3,4,2,1,2,2,3,3,2,1
Monster Abra A5 V21,1.5,Nvidia GeForce RTX 2050,FreeDos,16,Intel Core i7,15.6,3200,Black,monster,31299,500,3,3,3,3,3,2,4,3,2,2
Msi Modern 14 C12Mo,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,14.0,3200,Black,msi,21799,512,3,4,3,3,2,3,3,4,2,4
Lenovo Loq 15Arp9 83Jc00Crtr,3.0,Nvidia GeForce RTX 4050,FreeDos,12,AMD Ryzen 7,15.6,4800,"Dark Gray, Black",lenovo,37999,1024,2,4,3,2,2,3,3,4,3,4
Lenovo Yoga 6,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,13.3,4266,Blue,lenovo,32999,1024,3,3,3,3,4,2,2,4,2,5
Msi Sword 17 Hx,3.0,Nvidia GeForce RTX 4070,FreeDos,32,Intel Core i9,17.0,5600,Dark Grey,msi,89999,1024,3,3,4,2,5,2,2,3,3,3
Lenovo Loq,5.0,Nvidia GeForce RTX 3050,FreeDos,24,Intel Core i5,15.6,4800,Grey,lenovo,35519,512,2,3,2,3,3,4,3,4,3,3
Hp Victus 15 Fa1073Nt,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,15.6,3200,Grey,hp,36999,512,2,4,3,3,3,3,4,4,4,3
Lenovo Ideapad Slim 3,1.5,Onboard,FreeDos,8,Intel Core i3,15.6,4800,Grey,lenovo,11799,512,2,2,3,2,2,2,3,4,3,3
Asus Tuf Gaming A16 Advantage,3.0,AMD Radeon RX 7600S,Windows 11 Home,16,AMD Ryzen 7,16.0,4800,Dark Grey,asus,40999,512,3,3,3,3,4,3,2,3,4,3
Hp 250 G9,1.0,Shared,Windows 11 Pro,16,Intel Core i5,15.6,3200,Grey,hp,20699,512,2,2,4,2,5,2,3,3,3,4
Lenovo Loq 15Iax9 83Gs007Wtr,3.0,Nvidia GeForce RTX 4050,FreeDos,8,Intel Core i5,15.6,4800,Grey,lenovo,33499,512,3,2,3,4,1,3,3,4,3,3
Lenovo V15 G4,1.5,AMD Radeon 610M,FreeDos,8,AMD Ryzen 5,15.6,5500,Black,lenovo,12899,512,3,3,1,1,5,4,3,4,3,2
Lenovo Thinkpad E14 21Jr0009Tx,1.5,Shared,FreeDos,16,AMD Ryzen 5,14.0,3200,Black,lenovo,23500,512,3,3,4,2,3,4,2,3,4,4
Asus Tuf Gaming A15 Fa507Nvr,1.5,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 7,15.6,4800,"Dark Gray, Black",asus,45899,512,3,4,2,3,2,3,3,4,3,3
Msi Thin A15 B7Ve,1.5,Nvidia GeForce RTX 4050,FreeDos,16,AMD Ryzen 5,15.6,4800,Dark Grey,msi,37254,512,2,3,3,3,1,3,5,3,2,2
Gigabyte Aorus 15,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,5600,Black,gigabyte,46999,1024,4,3,2,3,3,3,2,3,3,3
Asus Vivobook 15 X1504Va,1.0,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Blue,asus,24999,512,2,3,3,2,2,4,3,3,3,2
Msi Cyborg 15 A13Ve,1.5,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,5200,Black,msi,37882,1024,3,3,3,3,3,3,2,4,3,3
Lenovo Ideapad 1 15Alc7,1.5,AMD Radeon Graphics,Windows 11 Pro,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,18399,512,3,3,3,3,4,3,2,3,4,1
Dell Vostro 3520 01,1.5,Shared,Ubuntu,16,Intel Core i5,15.6,2666,Black,dell,17899,512,4,3,3,4,4,1,4,3,3,2
Lenovo Loq,3.0,Nvidia GeForce RTX 4050,FreeDos,16,AMD Ryzen 5,15.6,5600,Grey,lenovo,47185,1024,4,3,2,1,2,2,1,3,3,3
Hp 15S Eq2006Nt,1.5,Shared,FreeDos,8,AMD Ryzen 5,15.6,3200,Black,hp,12557,256,2,4,2,4,3,3,2,2,3,3
Monster Abra A7 V15,3.0,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i5,17.3,3200,Black,monster,39499,1024,2,2,1,2,3,4,2,4,3,3
Dell Vostro 3530,1.0,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Black,dell,28449,1024,1,4,3,2,3,2,1,4,4,3
Erazer Deputy P60I,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,3200,Dark Grey,erazer,43999,1024,4,4,3,4,2,3,4,3,4,3
Casper Nirvana S100 300Nit,1.0,Intel Graphics,FreeDos,32,Intel Core i7,16.0,5600,Titanium Grey,casper,27299,1024,4,3,2,2,4,2,3,3,2,4
Lenovo Ideapad 3 82Rk00X8Tx,1.5,Intel UHD Graphics,Windows 11 Home,8,Intel Core i3,15.6,3200,Grey,lenovo,13950,256,5,2,3,3,3,3,3,5,2,3
Asus Vivobook X1502Za 15,1.5,Intel UHD Graphics,Windows 11 Home,16,Intel Core i5,15.6,3200,Dark Blue,asus,19499,512,3,2,3,2,3,3,3,3,3,2
Lenovo Ideapad 3,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i3,15.6,2666,Metallic Grey,lenovo,15499,512,3,2,3,3,3,1,3,3,3,2
Asus Tuf Gaming F15 Fx507Zc4,3.0,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i7,15.6,3200,Metallic Grey,asus,44499,512,3,2,2,3,1,2,4,3,2,4
Dell Vostro 3530 N1601Pvnb3530U10,1.0,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Black,dell,27999,512,2,3,2,4,4,3,4,3,3,3
Lenovo V15 G3,1.5,Intel UHD Graphics,FreeDos,8,Intel Core i5,15.6,3200,Black,lenovo,18810,512,3,4,3,3,2,3,2,3,3,3
Asus Rog Strix G16 G615Lr,3.0,Nvidia GeForce RTX 5070Ti,FreeDos,32,Intel Core Ultra 7,16.0,5600,Dark Grey,asus,107999,1024,4,2,3,4,3,2,3,1,3,2
Lenovo Ideapad Slim 5,1.5,Onboard,FreeDos,16,AMD Ryzen 5,14.0,6400,Grey,lenovo,26999,512,3,4,2,3,3,3,2,4,3,3
Dell Vostro 3530,1.0,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i5,15.6,3200,Black,dell,22599,512,3,3,3,2,4,2,1,2,2,3
Acer Nitro 16 An16,3.0,Nvidia GeForce RTX 4070,FreeDos,64,AMD Ryzen 7,16.0,5600,Black,acer,74999,1024,1,3,1,3,2,3,1,3,1,4
Casper Excalibur G770 1265,3.0,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i7,15.6,3200,Black,casper,35557,1024,4,3,4,2,5,3,4,3,5,4
Msi Sword 17 Hx,3.0,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i7,17.0,5600,Grey,msi,60799,1024,2,3,3,5,2,3,2,4,3,3
Lenovo Ideapad 1,1.0,Onboard,FreeDos,8,AMD Ryzen 5,15.6,3200,Grey,lenovo,13999,512,3,3,4,3,3,1,4,2,3,3
Acer Nitro V 15 Anv15,3.0,Nvidia GeForce RTX 4050,FreeDos,8,Intel Core i5,15.6,5200,Black,acer,31999,512,2,4,2,3,2,3,2,4,2,4
Lenovo V15 G3,1.5,Shared,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,21699,512,3,3,4,4,5,2,5,4,4,3
Hp Victus Laptop 16 R0065Nt,3.0,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,16.1,5200,Black,hp,54999,1024,4,3,3,3,3,2,4,2,3,3
Lenovo Ideapad,1.5,Shared,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,17953,512,4,4,3,2,4,1,4,3,2,3
Dell G16 7630,3.0,Nvidia GeForce RTX 4070,Linux,32,Intel Core i9,16.0,5600,Black,dell,80999,1024,3,3,4,2,4,3,3,3,2,3
Asus Vivobook 15,1.5,Intel UHD Graphics,Windows 11 Home,16,Intel Core i5,15.6,3200,Metallic Grey,asus,19999,512,3,3,3,2,1,3,1,3,3,4
Lenovo Ideapad Gaming 3,3.0,Nvidia GeForce RTX 2050,FreeDos,8,AMD Ryzen 5,15.6,3200,Black,lenovo,22465,512,3,2,4,4,2,2,3,2,3,2
Lenovo Yoga Slim 6 14Iap8,1.5,Intel Iris Xe Graphics,Windows 11 Home,8,Intel Core i5,14.0,4800,Grey,lenovo,27899,512,4,2,2,3,2,4,3,3,2,3
Lenovo Loq 15Arp9 83Jc00Crtrv2,3.0,Nvidia GeForce RTX 4050,FreeDos,28,AMD Ryzen 7,15.6,4800,Grey,lenovo,41570,1024,3,4,3,3,2,3,3,4,3,3
Acer Swift 3 Sf314,1.5,AMD Radeon Graphics,Linux,8,AMD Ryzen 5,14.0,4266,Silver,acer,13480,512,3,4,3,3,3,4,3,4,2,3
Casper Nirvana C370 4020,1.5,Intel UHD Graphics 600,Windows 11 Home,4,Intel Celeron,15.6,2666,Metallic Grey,casper,9799,120,1,4,3,3,1,3,3,4,3,3
Lenovo 16 Thinkbook,1.5,AMD Radeon Graphics,FreeDos,16,7730U,16.0,3200,Grey,lenovo,25999,512,2,3,4,3,4,3,3,3,1,4
Lenovo Yoga 7,1.5,AMD Radeon 780M,FreeDos,16,AMD Ryzen 7,14.0,6400,Grey,lenovo,39902,1024,2,3,4,4,4,2,3,3,4,3
Casper Excalibur G770 1245,3.0,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i5,15.6,3200,Black,casper,31699,1024,3,4,4,3,3,3,3,4,2,2
Lenovo Nb E16 Thinkpad,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,16.0,3200,Metallic Black,lenovo,27551,512,3,3,2,2,3,3,2,4,3,3
Onda Oliver Book,1.5,Intel HD Graphics 600,Windows 11 Pro,8,Intel Pentium,10.1,2400,White,onda,6599,256,2,3,2,3,3,1,2,3,3,3
Lenovo Yoga 7,1.5,Intel Arc Graphics,Windows 11 Home,16,Intel Core Ultra 7,14.0,7467,Blue,lenovo,54999,512,2,2,2,2,4,1,3,4,4,4
Lenovo Ideapad 1 15Alc7,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,17812,512,2,3,3,2,3,2,2,4,3,1
Hp 250 G9,1.0,Intel Iris Xe Graphics,FreeDos,8,Intel Core i5,15.6,3200,Grey,hp,16120,512,3,4,3,2,4,3,2,3,3,3
Lenovo Ideapad 1 15Alc7,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,16720,512,1,2,4,3,3,4,3,3,4,3
Acer Extensa 15,1.5,Intel HD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,"Dark Gray, Black",acer,18793,512,4,2,3,3,3,2,2,3,2,4
Lenovo Nb V15,1.5,Shared,Windows 11 Pro,16,AMD Ryzen 5,15.6,4800,Black,lenovo,17699,512,4,2,3,2,4,4,4,4,1,1
Casper Nirvana X600 1245,1.5,Shared,FreeDos,32,Intel Core i5,15.6,3200,Grey,casper,18699,1024,2,2,4,1,2,2,3,3,3,4
Dell Vostro 3530,1.5,Intel UHD Graphics,FreeDos,32,Intel Core i7,15.6,3200,Black,dell,26029,1024,4,3,2,2,5,2,5,4,3,3
Lenovo Ideapad Gaming 3,3.0,Nvidia GeForce RTX 2050,FreeDos,16,AMD Ryzen 5,15.6,3200,Black,lenovo,23176,512,2,2,3,3,4,3,3,4,4,3
Acer Nitro Anv15 51,3.0,Nvidia GeForce RTX 2050,Windows 11 Home,8,Intel Core i5,15.6,4800,Black,acer,25899,512,3,3,3,3,3,2,3,1,2,4
Asus Vivobook S 14 Flip,1.5,Intel HD Graphics,Windows 11 Home,16,Intel Core i5,14.0,3200,Silver,asus,39499,512,1,2,3,2,4,2,4,3,4,3
Asus Vivobook 15 X1504Za,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i5,15.6,3200,Silver,asus,22411,512,3,3,2,3,1,2,2,3,3,5
Lenovo Ideapad 1,1.5,Intel UHD Graphics 600,FreeDos,8,Intel Celeron,15.6,2400,Grey,lenovo,11749,256,3,3,2,3,4,3,3,3,3,3
Dell Inspiron 15 3520,1.5,Shared,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,dell,19899,512,4,2,2,2,3,2,2,4,2,3
Asus Vivobook 15,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,3200,Metallic Grey,asus,30379,1024,1,3,3,3,2,3,3,3,3,3
Dell 3530,1.0,Shared,FreeDos,32,Intel Core i5,15.6,3200,Black,dell,20958,512,4,4,3,3,4,2,3,4,1,4
Dell Latitude 3550,1.0,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,5600,Black,dell,41399,512,3,3,4,2,4,2,4,4,3,4
Lenovo V15 G3,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,23999,512,2,3,4,2,3,4,3,4,4,2
Casper Nirvana X600 1235,1.5,Shared,FreeDos,8,Intel Core i5,15.6,3200,Grey,casper,15119,250,4,3,2,2,3,2,3,3,3,3
Lenovo Ideapad 1 15Alc7,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,15.6,3200,Black,lenovo,19679,1024,4,2,3,1,3,2,3,4,2,3
Lenovo Ideapad Gaming 3,1.5,Nvidia GeForce RTX 2050,Windows 11 Pro,32,AMD Ryzen 5,15.6,3200,Black,lenovo,32339,1024,2,3,1,3,1,2,3,4,3,3
Dell Inspiron 3520 I5,3.0,Intel Iris Xe Graphics,Windows 11 Pro,8,Intel Core i5,15.6,2666,Black,dell,17799,512,4,3,2,3,3,3,1,3,3,3
