Laptop Name,Weight,Graphic Card,Operating System,RAM,CPU,Screen Size,Memory Speed,Color,Brand,Price,Storage
Casper Excalibur G870 1270,3,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i7,15.6,3200,Grey,casper,41999,1024
Hp Victus Gaming 16 S0005Nt,3,Nvidia GeForce RTX 4070,FreeDos,16,AMD Ryzen 7,16.1,5600,Black,hp,54999,1024
Dell Inspiron 3530 I5,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i5,15.6,2666,Black,dell,17783,512
Msi Sword 16 Hx,3,Nvidia GeForce RTX 4070,FreeDos,32,Intel Core i7,16,5600,"Dark Gray, Black",msi,83243,1024
Lenovo Loq,3,Nvidia GeForce RTX 3050,FreeDos,16,AMD Ryzen 5,15.6,4800,Grey,lenovo,31999,512
Hp Victus 16 R0020Nt,3,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,16.1,5200,Black,hp,49999,1024
Asus Tuf Gaming F15 Fx507Zc4,3,Nvidia GeForce RTX 3050,FreeDos,8,Intel Core i5,15.6,3200,Metallic Grey,asus,30999,512
Hp Victus B10Fpea,3,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,3200,Silver,hp,41599,512
Casper Nirvana C550 1255,1.5,Shared,FreeDos,16,Intel Core i7,15.6,3200,Dark Grey,casper,18999,512
Hp Victus 16 R1021Nt,3,Nvidia GeForce RTX 4070,FreeDos,32,Intel Core i7,16.1,5600,Blue,hp,66999,1024
Acer Nitro 5 Nh,3,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i5,15.6,3200,Black,acer,27599,512
Casper Excalibur G770 1245,3,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i5,15.6,3200,Black,casper,31299,512
Onda Oliver Book,1.5,Intel HD Graphics 600,Windows 11 Pro,8,Intel Pentium,10.1,2400,White,onda,5409,128
Lenovo Ideapad Slim 3 15Iah8,1,Intel UHD Graphics,FreeDos,8,Intel Core i5,15.6,4800,Grey,lenovo,16789,256
Dell Latitude 5290 2,1,Shared,Windows 10 Pro,16,Intel Core i5,12.3,2400,"Dark Gray, Black",dell,16999,256
Casper Excalibur G870 1245,3,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,3200,Grey,casper,37799,1024
Monster Abra A5 V21,1.5,Nvidia GeForce RTX 2050,FreeDos,16,Intel Core i7,15.6,3200,Black,monster,31299,500
Msi Modern 14 C12Mo,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,14,3200,Black,msi,21799,512
Lenovo Loq 15Arp9 83Jc00Crtr,3,Nvidia GeForce RTX 4050,FreeDos,12,AMD Ryzen 7,15.6,4800,"Dark Gray, Black",lenovo,37999,1024
Lenovo Yoga 6,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,13.3,4266,Blue,lenovo,32999,1024
Msi Sword 17 Hx,3,Nvidia GeForce RTX 4070,FreeDos,32,Intel Core i9,17,5600,Dark Grey,msi,89999,1024
Lenovo Loq,5,Nvidia GeForce RTX 3050,FreeDos,24,Intel Core i5,15.6,4800,Grey,lenovo,35519,512
Hp Victus 15 Fa1073Nt,3,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,15.6,3200,Grey,hp,36999,512
Lenovo Ideapad Slim 3,1.5,Onboard,FreeDos,8,Intel Core i3,15.6,4800,Grey,lenovo,11799,512
Asus Tuf Gaming A16 Advantage,3,AMD Radeon RX 7600S,Windows 11 Home,16,AMD Ryzen 7,16,4800,Dark Grey,asus,40999,512
Hp 250 G9,1,Shared,Windows 11 Pro,16,Intel Core i5,15.6,3200,Grey,hp,20699,512
Lenovo Loq 15Iax9 83Gs007Wtr,3,Nvidia GeForce RTX 4050,FreeDos,8,Intel Core i5,15.6,4800,Grey,lenovo,33499,512
Lenovo V15 G4,1.5,AMD Radeon 610M,FreeDos,8,AMD Ryzen 5,15.6,5500,Black,lenovo,12899,512
Lenovo Thinkpad E14 21Jr0009Tx,1.5,Shared,FreeDos,16,AMD Ryzen 5,14,3200,Black,lenovo,23500,512
Asus Tuf Gaming A15 Fa507Nvr,1.5,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 7,15.6,4800,"Dark Gray, Black",asus,45899,512
Msi Thin A15 B7Ve,1.5,Nvidia GeForce RTX 4050,FreeDos,16,AMD Ryzen 5,15.6,4800,Dark Grey,msi,37254,512
Gigabyte Aorus 15,3,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,5600,Black,gigabyte,46999,1024
Asus Vivobook 15 X1504Va,1,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Blue,asus,24999,512
Msi Cyborg 15 A13Ve,1.5,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,5200,Black,msi,37882,1024
Lenovo Ideapad 1 15Alc7,1.5,AMD Radeon Graphics,Windows 11 Pro,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,18399,512
Dell Vostro 3520 01,1.5,Shared,Ubuntu,16,Intel Core i5,15.6,2666,Black,dell,17899,512
Lenovo Loq,3,Nvidia GeForce RTX 4050,FreeDos,16,AMD Ryzen 5,15.6,5600,Grey,lenovo,47185,1024
Hp 15S Eq2006Nt,1.5,Shared,FreeDos,8,AMD Ryzen 5,15.6,3200,Black,hp,12557,256
Monster Abra A7 V15,3,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i5,17.3,3200,Black,monster,39499,1024
Dell Vostro 3530,1,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Black,dell,28449,1024
Erazer Deputy P60I,3,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,3200,Dark Grey,erazer,43999,1024
Casper Nirvana S100 300Nit,1,Intel Graphics,FreeDos,32,Intel Core i7,16,5600,Titanium Grey,casper,27299,1024
Lenovo Ideapad 3 82Rk00X8Tx,1.5,Intel UHD Graphics,Windows 11 Home,8,Intel Core i3,15.6,3200,Grey,lenovo,13950,256
Asus Vivobook X1502Za 15,1.5,Intel UHD Graphics,Windows 11 Home,16,Intel Core i5,15.6,3200,Dark Blue,asus,19499,512
Lenovo Ideapad 3,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i3,15.6,2666,Metallic Grey,lenovo,15499,512
Asus Tuf Gaming F15 Fx507Zc4,3,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i7,15.6,3200,Metallic Grey,asus,44499,512
Dell Vostro 3530 N1601Pvnb3530U10,1,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Black,dell,27999,512
Lenovo V15 G3,1.5,Intel UHD Graphics,FreeDos,8,Intel Core i5,15.6,3200,Black,lenovo,18810,512
Asus Rog Strix G16 G615Lr,3,Nvidia GeForce RTX 5070Ti,FreeDos,32,Intel Core Ultra 7,16,5600,Dark Grey,asus,107999,1024
Lenovo Ideapad Slim 5,1.5,Onboard,FreeDos,16,AMD Ryzen 5,14,6400,Grey,lenovo,26999,512
Dell Vostro 3530,1,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i5,15.6,3200,Black,dell,22599,512
Acer Nitro 16 An16,3,Nvidia GeForce RTX 4070,FreeDos,64,AMD Ryzen 7,16,5600,Black,acer,74999,1024
Casper Excalibur G770 1265,3,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i7,15.6,3200,Black,casper,35557,1024
Msi Sword 17 Hx,3,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i7,17,5600,Grey,msi,60799,1024
Lenovo Ideapad 1,1,Onboard,FreeDos,8,AMD Ryzen 5,15.6,3200,Grey,lenovo,13999,512
Acer Nitro V 15 Anv15,3,Nvidia GeForce RTX 4050,FreeDos,8,Intel Core i5,15.6,5200,Black,acer,31999,512
Lenovo V15 G3,1.5,Shared,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,21699,512
Hp Victus Laptop 16 R0065Nt,3,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,16.1,5200,Black,hp,54999,1024
Lenovo Ideapad,1.5,Shared,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,17953,512
Dell G16 7630,3,Nvidia GeForce RTX 4070,Linux,32,Intel Core i9,16,5600,Black,dell,80999,1024
Asus Vivobook 15,1.5,Intel UHD Graphics,Windows 11 Home,16,Intel Core i5,15.6,3200,Metallic Grey,asus,19999,512
Lenovo Ideapad Gaming 3,3,Nvidia GeForce RTX 2050,FreeDos,8,AMD Ryzen 5,15.6,3200,Black,lenovo,22465,512
Lenovo Yoga Slim 6 14Iap8,1.5,Intel Iris Xe Graphics,Windows 11 Home,8,Intel Core i5,14,4800,Grey,lenovo,27899,512
Lenovo Loq 15Arp9 83Jc00Crtrv2,3,Nvidia GeForce RTX 4050,FreeDos,28,AMD Ryzen 7,15.6,4800,Grey,lenovo,41570,1024
Acer Swift 3 Sf314,1.5,AMD Radeon Graphics,Linux,8,AMD Ryzen 5,14,4266,Silver,acer,13480,512
Casper Nirvana C370 4020,1.5,Intel UHD Graphics 600,Windows 11 Home,4,Intel Celeron,15.6,2666,Metallic Grey,casper,9799,120
Lenovo 16 Thinkbook,1.5,AMD Radeon Graphics,FreeDos,16,7730U,16,3200,Grey,lenovo,25999,512
Lenovo Yoga 7,1.5,AMD Radeon 780M,FreeDos,16,AMD Ryzen 7,14,6400,Grey,lenovo,39902,1024
Casper Excalibur G770 1245,3,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i5,15.6,3200,Black,casper,31699,1024
Lenovo Nb E16 Thinkpad,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,16,3200,Metallic Black,lenovo,27551,512
Onda Oliver Book,1.5,Intel HD Graphics 600,Windows 11 Pro,8,Intel Pentium,10.1,2400,White,onda,6599,256
Lenovo Yoga 7,1.5,Intel Arc Graphics,Windows 11 Home,16,Intel Core Ultra 7,14,7467,Blue,lenovo,54999,512
Lenovo Ideapad 1 15Alc7,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,17812,512
Hp 250 G9,1,Intel Iris Xe Graphics,FreeDos,8,Intel Core i5,15.6,3200,Grey,hp,16120,512
Lenovo Ideapad 1 15Alc7,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,16720,512
Acer Extensa 15,1.5,Intel HD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,"Dark Gray, Black",acer,18793,512
Lenovo Nb V15,1.5,Shared,Windows 11 Pro,16,AMD Ryzen 5,15.6,4800,Black,lenovo,17699,512
Casper Nirvana X600 1245,1.5,Shared,FreeDos,32,Intel Core i5,15.6,3200,Grey,casper,18699,1024
Dell Vostro 3530,1.5,Intel UHD Graphics,FreeDos,32,Intel Core i7,15.6,3200,Black,dell,26029,1024
Lenovo Ideapad Gaming 3,3,Nvidia GeForce RTX 2050,FreeDos,16,AMD Ryzen 5,15.6,3200,Black,lenovo,23176,512
Acer Nitro Anv15 51,3,Nvidia GeForce RTX 2050,Windows 11 Home,8,Intel Core i5,15.6,4800,Black,acer,25899,512
Asus Vivobook S 14 Flip,1.5,Intel HD Graphics,Windows 11 Home,16,Intel Core i5,14,3200,Silver,asus,39499,512
Asus Vivobook 15 X1504Za,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i5,15.6,3200,Silver,asus,22411,512
Lenovo Ideapad 1,1.5,Intel UHD Graphics 600,FreeDos,8,Intel Celeron,15.6,2400,Grey,lenovo,11749,256
Dell Inspiron 15 3520,1.5,Shared,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,dell,19899,512
Asus Vivobook 15,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,3200,Metallic Grey,asus,30379,1024
Dell 3530,1,Shared,FreeDos,32,Intel Core i5,15.6,3200,Black,dell,20958,512
Dell Latitude 3550,1,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,5600,Black,dell,41399,512
Lenovo V15 G3,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,23999,512
Casper Nirvana X600 1235,1.5,Shared,FreeDos,8,Intel Core i5,15.6,3200,Grey,casper,15119,250
Lenovo Ideapad 1 15Alc7,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,15.6,3200,Black,lenovo,19679,1024
Lenovo Ideapad Gaming 3,1.5,Nvidia GeForce RTX 2050,Windows 11 Pro,32,AMD Ryzen 5,15.6,3200,Black,lenovo,32339,1024
Dell Inspiron 3520 I5,3,Intel Iris Xe Graphics,Windows 11 Pro,8,Intel Core i5,15.6,2666,Black,dell,17799,512
Lenovo Ideapad Duet 5 12Iru8,1,Shared,FreeDos,16,Intel Core i7,12.4,4266,Grey,lenovo,45360,512
Xiaomi Redmibook 15E,1,Intel Iris Xe Graphics,Windows 11 Home,16,Intel Core i7,15.6,3200,Grey,xiaomi,21649,512
Acer Nitro V15 Anv15,3,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,5200,Black,acer,32278,512
Dell Vostro 15 3530,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,2666,Grey,dell,29199,1024
Lenovo Loq,3,Nvidia GeForce RTX 4060,FreeDos,24,AMD Ryzen 7,15.6,4800,Grey,lenovo,46999,512
Erazer Deputy P60,3,Nvidia GeForce RTX 4070,Windows 11 Home,16,Intel Core i7,15.6,3200,Dark Grey,erazer,54399,1024
Hp Victus 16 S1003Nt,3,Nvidia GeForce RTX 4070,FreeDos,32,AMD Ryzen 7,16.1,5600,Blue,hp,70999,1024
Casper Excalibur G770 1265,2.5,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i7,15.6,3200,Black,casper,32499,512
Hp Omen 17 Db0019Nt,3,Nvidia GeForce RTX 4070,FreeDos,32,AMD Ryzen 7,17.3,5600,Black,hp,65999,1024
Hp Victus Gaming Laptop 16 S1031Nt,3,Nvidia GeForce RTX 4050,FreeDos,16,AMD Ryzen 5,16.1,5600,Blue,hp,37599,512
Casper Excalibur G770 1265,3,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i7,15.6,3200,Black,casper,34099,512
Asus Rog Strix Scar 18 G835Lw,3,Nvidia GeForce RTX 5080,FreeDos,64,Intel Core Ultra 9,18,5600,Black,asus,194999,2048
Hp Elitebook 640 G10,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,14,3200,Silver,hp,34500,512
Asus Rog Strix G16 G614Ju,3,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,16,4800,Grey,asus,59999,512
Hp 15S Eq2000Nt,1.5,AMD Radeon Graphics,Windows 11 Pro,16,AMD Ryzen 7,15.6,3200,Silver,hp,19499,1024
Lenovo V15 G4,1.5,Intel UHD Graphics,FreeDos,8,13420H,15.6,3200,Black,lenovo,18056,256
Lenovo Ideapad Slim 3 16Iah8,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i5,16,4800,Grey,lenovo,23999,512
Asus Rog Strix G16 G614Fr,3,Nvidia GeForce RTX 5070Ti,FreeDos,32,AMD Ryzen 9,16,5600,Black,asus,118999,1024
Dell Vostro 3530,1.5,Intel UHD Graphics,Ubuntu,32,Intel Core i7,15.6,3200,Black,dell,24160,512
Hp Omen 17 Db0021Nt,1.5,Nvidia GeForce RTX 4070,FreeDos,16,AMD Ryzen 7,17.3,5600,Black,hp,61999,1024
Asus Vivobook 16X,1.5,Nvidia GeForce RTX 4050,Windows 11 Home,32,Intel Core i5,16,3200,Black,asus,42388,1024
Asus Zenbook 14 Oled,3,Shared,Windows 11 Home,16,Intel Core Ultra 5,14,7467,Blue,asus,40499,512
Dell Inspiron 3520 I5,3,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,2666,Black,dell,18999,512
Hp 250 G10,1.5,Intel Iris Xe Graphics,Windows 11 Pro,64,Intel Core i7,15.6,3200,Grey,hp,32785,1024
Lenovo V15 G4,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,24148,1024
Dell Vostro 3520,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i5,15.6,3200,Dark Grey,dell,22399,1024
Lenovo V15 G4,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Black,lenovo,24899,512
Acer Nitro 5,3,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i5,15.6,4800,Black,acer,38999,1024
Asus Vivobook Go 15,1.5,Intel UHD Graphics,Windows 11 Home,8,Intel Core i3,15.6,3200,Grey,asus,14999,256
Dell Gaming G15 5530,3,Nvidia GeForce RTX 4050,Ubuntu,16,Intel Core i7,15.6,4800,"Black, Grey",dell,43257,512
Lenovo Ideapad 5 2,1.5,Onboard,FreeDos,16,Ryzen 5,14,6400,Blue,lenovo,29999,512
Lenovo V15 G4,1,Intel UHD Graphics,FreeDos,16,Intel Core i5,15.6,3200,Black,lenovo,20159,512
Lenovo Nb V15 83A10096Tr,1,Intel Iris Xe Graphics,Android,1,Intel Based,15.6,1066,"Gold, Metallic Black",lenovo,19736,512
Casper Nirvana C550 1255,1.5,Shared,FreeDos,32,Intel Core i7,15.6,3200,Dark Grey,casper,24725,1024
Lenovo Legion Pro 7,3,Nvidia GeForce RTX 4080,FreeDos,32,Intel Core i9,16,5600,Black,lenovo,129999,1024
Asus Vivobook Go 15 E1504Ga,1.5,Intel UHD Graphics,FreeDos,8,Intel Core i3,15.6,3200,Silver,asus,12199,512
Asus Tuf Gaming A15 Fa507Nv,3,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 5,15.6,4800,Black,asus,42498,512
Lenovo V15 82Tv009Dtx,3,AMD Radeon Graphics,FreeDos,8,AMD Ryzen 7,15.6,3200,Black,lenovo,17799,512
Lenovo Ideapad Slim 3 15Irh8,3,Intel UHD Graphics,FreeDos,16,Intel Core i7,15.6,4800,Grey,lenovo,37283,1024
Msi Cyborg 15 A13Ve,1.5,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,15.6,5200,Black,msi,42901,512
Lenovo Yoga Slim 7,1,Intel Arc Graphics,Windows 11 Home,16,Intel Core Ultra 5,14,7467,Grey,lenovo,38999,512
Asus Vivobook 16X,1.5,Nvidia GeForce RTX 4050,Windows 11 Home,16,Intel Core i5,16,3200,Black,asus,41471,1024
Dell Vostro 3520 N1611Pvnb3520U,1,Intel Iris Xe Graphics,FreeDos,8,Intel Core i5,15.6,3200,Dark Grey,dell,17999,512
Lenovo V15 G3,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,20975,512
Monster Tulpar T6 V2,1.5,Nvidia GeForce RTX 4070,Windows 11 Home,32,Core Ultra 7,16,5600,Black,monster,85694,1024
Casper Excalibur G870 1245,3,Nvidia GeForce RTX 2050,FreeDos,32,Intel Core i5,15.6,3200,Grey,casper,29309,1024
Lenovo V15 82Yu0122Tx,1,AMD Radeon 610M,FreeDos,8,AMD Ryzen 5,15.6,5500,Black,lenovo,12576,256
Acer Nitro 5 Nh,3,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i5,15.6,3200,Black,acer,31499,1024
Acer Nitro V15 Nh,3,Nvidia GeForce RTX 3050,Windows 11 Home,32,13420H,15.6,4800,Black,acer,31999,512
Dell Vostro 3530,1.5,Intel Iris Xe Graphics,Linux,16,Intel Core i7,15.6,2666,Grey,dell,22972,512
