Laptop Name,Weight,Graphic Card,Operating System,RAM,CPU,Screen Size,Memory Speed,Color,Brand,Price,Storage,CPU Rank,Graphic Card Rank,RAM Rank,Storage Rank,Memory Speed Rank,Screen Size Rank,Weight Rank,Brand Rank,Operating System Rank,Color Rank
MSI CROSSHAIR 17 HX D14VGKG 075TR,3.0,Nvidia GeForce RTX 4070,Windows 11 Home,32,Intel Core i7,17.0,5600,Dark Grey,msi,109999,1024,4,1,1,5,4,2,5,5,2,2
DELL VOSTRO 3530,1.5,Intel Iris Xe Graphics,Linux,16,Intel Core i5,15.6,2666,Black,dell,18756,512,5,1,1,5,2,1,5,5,5,3
ASUS TUF GAMING A15 FA507NVR LP005 8GB RTX4060 140W,3.0,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 7,15.6,4800,"Black, Grey",asus,45999,512,5,5,4,1,3,1,1,2,5,2
LENOVO LOQ 15IRX9,3.0,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,15.6,4800,Grey,lenovo,57999,1024,1,2,1,3,3,5,5,5,5,5
CASPER EXCALIBUR G870 1270 DFA0X B,3.0,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i7,15.6,3200,Grey,casper,41999,1024,1,5,3,5,1,3,2,1,5,3
HP VICTUS GAMING 16 S0005NT,3.0,Nvidia GeForce RTX 4070,FreeDos,16,AMD Ryzen 7,16.1,5600,Black,hp,54999,1024,3,2,4,2,2,4,2,3,1,1
DELL INSPIRON 3530 I5 1334U 16 GB 512 GB SSD 15 6 FHD 120HZ,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i5,15.6,2666,Black,dell,17783,512,3,1,2,5,5,3,4,3,5,3
MSI SWORD 16 HX B14VGKG 473XTR,3.0,Nvidia GeForce RTX 4070,FreeDos,32,Intel Core i7,16.0,5600,"Dark Gray, Black",msi,83243,1024,3,5,5,5,2,3,5,1,1,1
LENOVO LOQ,3.0,Nvidia GeForce RTX 3050,FreeDos,16,AMD Ryzen 5,15.6,4800,Grey,lenovo,31999,512,3,1,1,5,5,5,5,5,5,3
HP VICTUS 16 R0020NT 13 NESIL,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,16.1,5200,Black,hp,49999,1024,3,1,1,3,5,5,4,2,5,1
ASUS TUF GAMING F15 FX507ZC4 HN158,3.0,Nvidia GeForce RTX 3050,FreeDos,8,Intel Core i5,15.6,3200,Metallic Grey,asus,30999,512,4,2,2,1,5,5,2,3,2,5
HP VICTUS B10FPEA,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,3200,Silver,hp,41599,512,1,1,1,5,1,4,2,5,1,1
CASPER NIRVANA C550 1255 BV00X G F,1.5,Shared,FreeDos,16,Intel Core i7,15.6,3200,Dark Grey,casper,18999,512,3,4,2,5,2,3,3,2,1,1
HP VICTUS 16 R1021NT,3.0,Nvidia GeForce RTX 4070,FreeDos,32,Intel Core i7,16.1,5600,Blue,hp,66999,1024,3,2,1,2,2,5,2,3,5,5
ACER NITRO 5 NH QFJEY 00A 16 512,3.0,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i5,15.6,3200,Black,acer,27599,512,3,1,2,5,2,4,1,5,5,3
CASPER EXCALIBUR G770 1245 DVJ0X B,3.0,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i5,15.6,3200,Black,casper,31299,512,2,5,1,1,4,3,1,4,2,5
ONDA OLIVER BOOK,1.5,Intel HD Graphics 600,Windows 11 Pro,8,Intel Pentium,10.1,2400,White,onda,5409,128,1,2,2,3,2,1,5,1,5,5
LENOVO IDEAPAD SLIM 3 15IAH8 83ER00GCTR,1.0,Intel UHD Graphics,FreeDos,8,Intel Core i5,15.6,4800,Grey,lenovo,16789,256,5,4,5,5,5,2,4,3,5,5
DELL LATITUDE 5290 2 SI 1 ARADA LAPTOP VE TABLET,1.0,Shared,Windows 10 Pro,16,Intel Core i5,12.3,2400,"Dark Gray, Black",dell,16999,256,4,2,1,5,5,1,5,5,1,5
CASPER EXCALIBUR G870 1245 BFA0X B,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,3200,Grey,casper,37799,1024,5,4,4,3,2,2,2,3,5,4
MONSTER ABRA A5 V21 3,1.5,Nvidia GeForce RTX 2050,FreeDos,16,Intel Core i7,15.6,3200,Black,monster,31299,500,4,4,5,1,2,2,4,1,3,5
MSI MODERN 14 C12MO 1039XTR,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,14.0,3200,Black,msi,21799,512,1,1,4,2,2,4,3,1,5,1
LENOVO LOQ 15ARP9 83JC00CRTR,3.0,Nvidia GeForce RTX 4050,FreeDos,12,AMD Ryzen 7,15.6,4800,"Dark Gray, Black",lenovo,37999,1024,3,2,5,5,2,3,1,3,1,5
LENOVO YOGA 6,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,13.3,4266,Blue,lenovo,32999,1024,1,5,1,2,1,3,5,5,2,5
MSI SWORD 17 HX B14VGKG 246XTR,3.0,Nvidia GeForce RTX 4070,FreeDos,32,Intel Core i9,17.0,5600,Dark Grey,msi,89999,1024,1,3,1,3,5,5,4,3,1,5
LENOVO LOQ,5.0,Nvidia GeForce RTX 3050,FreeDos,24,Intel Core i5,15.6,4800,Grey,lenovo,35519,512,3,2,4,5,5,1,3,5,5,2
HP VICTUS 15 FA1073NT,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,15.6,3200,Grey,hp,36999,512,1,5,4,5,2,4,1,3,5,1
LENOVO IDEAPAD SLIM 3,1.5,Onboard,FreeDos,8,Intel Core i3,15.6,4800,Grey,lenovo,11799,512,5,5,4,3,4,4,5,5,1,1
ASUS TUF GAMING A16 ADVANTAGE EDITION FA617NSR N3004W,3.0,AMD Radeon RX 7600S,Windows 11 Home,16,AMD Ryzen 7,16.0,4800,Dark Grey,asus,40999,512,3,4,4,5,5,5,4,1,5,5
HP 250 G9,1.0,Shared,Windows 11 Pro,16,Intel Core i5,15.6,3200,Grey,hp,20699,512,4,1,4,3,4,5,4,5,2,4
LENOVO LOQ 15IAX9 83GS007WTR,3.0,Nvidia GeForce RTX 4050,FreeDos,8,Intel Core i5,15.6,4800,Grey,lenovo,33499,512,3,5,5,5,3,4,5,5,3,3
LENOVO V15 G4 AMN 82YU0124TX,1.5,AMD Radeon 610M,FreeDos,8,AMD Ryzen 5,15.6,5500,Black,lenovo,12899,512,2,3,4,5,5,3,2,4,1,2
LENOVO THINKPAD E14 21JR0009TX,1.5,Shared,FreeDos,16,AMD Ryzen 5,14.0,3200,Black,lenovo,23500,512,5,1,4,2,5,5,5,4,4,3
ASUS TUF GAMING A15 FA507NVR LP030,1.5,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 7,15.6,4800,"Dark Gray, Black",asus,45899,512,3,4,1,5,5,5,4,3,1,1
MSI THIN A15 B7VE 076XTR,1.5,Nvidia GeForce RTX 4050,FreeDos,16,AMD Ryzen 5,15.6,4800,Dark Grey,msi,37254,512,5,1,2,3,2,4,5,4,2,4
GIGABYTE AORUS 15 BKF,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,5600,Black,gigabyte,46999,1024,1,5,4,5,5,4,5,3,2,3
ASUS VIVOBOOK 15 X1504VA NJ1500,1.0,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Blue,asus,24999,512,1,5,2,1,3,3,5,3,5,5
MSI CYBORG 15 A13VE 1478XTR,1.5,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,5200,Black,msi,37882,1024,4,2,1,5,1,2,5,1,1,4
LENOVO IDEAPAD 1 15ALC7,1.5,AMD Radeon Graphics,Windows 11 Pro,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,18399,512,1,4,5,3,1,5,3,5,5,3
DELL VOSTRO 3520 01,1.5,Shared,Ubuntu,16,Intel Core i5,15.6,2666,Black,dell,17899,512,5,1,4,3,1,2,5,5,5,5
LENOVO LOQ,3.0,Nvidia GeForce RTX 4050,FreeDos,16,AMD Ryzen 5,15.6,5600,Grey,lenovo,47185,1024,2,3,4,3,3,2,2,5,1,5
HP 15S EQ2006NT,1.5,Shared,FreeDos,8,AMD Ryzen 5,15.6,3200,Black,hp,12557,256,5,2,5,4,1,5,5,2,5,1
MONSTER ABRA A7 V15 3 2,3.0,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i5,17.3,3200,Black,monster,39499,1024,5,1,1,5,3,1,1,4,4,1
DELL VOSTRO 3530,1.0,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Black,dell,28449,1024,1,2,3,3,1,5,4,4,3,2
ERAZER DEPUTY P60I MD62749,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,3200,Dark Grey,erazer,43999,1024,4,2,4,3,5,3,2,1,5,1
CASPER NIRVANA S100 300NIT CORE,1.0,Intel Graphics,FreeDos,32,Intel Core i7,16.0,5600,Titanium Grey,casper,27299,1024,3,3,5,1,4,3,5,4,4,1
LENOVO IDEAPAD 3 82RK00X8TX,1.5,Intel UHD Graphics,Windows 11 Home,8,Intel Core i3,15.6,3200,Grey,lenovo,13950,256,1,4,5,5,4,1,5,5,2,1
ASUS VIVOBOOK X1502ZA 15,1.5,Intel UHD Graphics,Windows 11 Home,16,Intel Core i5,15.6,3200,Dark Blue,asus,19499,512,5,2,5,5,5,4,2,5,1,3
LENOVO IDEAPAD 3,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i3,15.6,2666,Metallic Grey,lenovo,15499,512,1,1,2,5,1,2,5,5,2,1
ASUS TUF GAMING F15 FX507ZC4 HN008,3.0,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i7,15.6,3200,Metallic Grey,asus,44499,512,3,3,4,5,5,1,5,3,4,1
DELL VOSTRO 3530 N1601PVNB3530U10,1.0,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Black,dell,27999,512,1,5,1,5,5,5,3,4,5,2
LENOVO V15 G3 IAP,1.5,Intel UHD Graphics,FreeDos,8,Intel Core i5,15.6,3200,Black,lenovo,18810,512,5,5,5,3,1,5,5,5,4,5
ASUS ROG STRIX G16 G615LR S5003,3.0,Nvidia GeForce RTX 5070Ti,FreeDos,32,Intel Core Ultra 7,16.0,5600,Dark Grey,asus,107999,1024,1,3,1,3,1,5,5,3,1,5
LENOVO IDEAPAD SLIM 5,1.5,Onboard,FreeDos,16,AMD Ryzen 5,14.0,6400,Grey,lenovo,26999,512,3,4,2,5,1,5,5,4,2,5
DELL VOSTRO 3530,1.0,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i5,15.6,3200,Black,dell,22599,512,4,5,1,5,5,1,4,4,5,2
ACER NITRO 16 AN16 42,3.0,Nvidia GeForce RTX 4070,FreeDos,64,AMD Ryzen 7,16.0,5600,Black,acer,74999,1024,3,4,1,5,5,5,5,1,1,5
CASPER EXCALIBUR G770 1265 BFJ0X B,3.0,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i7,15.6,3200,Black,casper,35557,1024,1,3,2,5,1,3,1,1,2,4
MSI SWORD 17 HX B14VEKG 053XTR,3.0,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i7,17.0,5600,Grey,msi,60799,1024,5,5,1,2,1,4,2,3,5,2
LENOVO IDEAPAD 1,1.0,Onboard,FreeDos,8,AMD Ryzen 5,15.6,3200,Grey,lenovo,13999,512,3,5,5,5,1,4,5,5,3,5
ACER NITRO V 15 ANV15 51,3.0,Nvidia GeForce RTX 4050,FreeDos,8,Intel Core i5,15.6,5200,Black,acer,31999,512,4,4,5,5,5,2,4,5,5,4
LENOVO V15 G3 IAP,1.5,Shared,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,21699,512,4,2,2,5,5,5,5,2,2,4
HP VICTUS LAPTOP 16 R0065NT,3.0,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,16.1,5200,Black,hp,54999,1024,3,4,3,5,5,3,2,5,5,4
LENOVO IDEAPAD,1.5,Shared,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,17953,512,4,2,4,3,2,5,2,5,3,1
DELL G16 7630,3.0,Nvidia GeForce RTX 4070,Linux,32,Intel Core i9,16.0,5600,Black,dell,80999,1024,1,5,3,5,1,1,2,5,5,4
ASUS VIVOBOOK 15,1.5,Intel UHD Graphics,Windows 11 Home,16,Intel Core i5,15.6,3200,Metallic Grey,asus,19999,512,5,4,2,1,2,5,5,5,4,5
LENOVO IDEAPAD GAMING 3,3.0,Nvidia GeForce RTX 2050,FreeDos,8,AMD Ryzen 5,15.6,3200,Black,lenovo,22465,512,5,3,5,1,3,1,5,5,2,3
LENOVO YOGA SLIM 6 14IAP8,1.5,Intel Iris Xe Graphics,Windows 11 Home,8,Intel Core i5,14.0,4800,Grey,lenovo,27899,512,5,4,4,2,5,3,5,5,2,2
LENOVO LOQ 15ARP9 83JC00CRTRV2,3.0,Nvidia GeForce RTX 4050,FreeDos,28,AMD Ryzen 7,15.6,4800,Grey,lenovo,41570,1024,3,1,1,2,1,1,2,5,1,5
ACER SWIFT 3 SF314 43,1.5,AMD Radeon Graphics,Linux,8,AMD Ryzen 5,14.0,4266,Silver,acer,13480,512,1,5,5,2,5,1,5,2,5,3
CASPER NIRVANA C370 4020 4C00B,1.5,Intel UHD Graphics 600,Windows 11 Home,4,Intel Celeron,15.6,2666,Metallic Grey,casper,9799,120,2,2,4,1,3,1,5,2,1,1
LENOVO 16 THINKBOOK 16 G6 21KK000WTR,1.5,AMD Radeon Graphics,FreeDos,16,7730U,16.0,3200,Grey,lenovo,25999,512,1,4,2,3,2,4,4,5,1,5
LENOVO YOGA 7,1.5,AMD Radeon 780M,FreeDos,16,AMD Ryzen 7,14.0,6400,Grey,lenovo,39902,1024,1,3,5,5,3,5,3,5,4,2
CASPER EXCALIBUR G770 1245 BFJ0X B,3.0,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i5,15.6,3200,Black,casper,31699,1024,4,2,2,3,5,2,1,1,2,5
LENOVO NB E16 THINKPAD 21JT0017TX,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,16.0,3200,Metallic Black,lenovo,27551,512,1,1,2,2,1,1,4,3,3,1
ONDA OLIVER BOOK,1.5,Intel HD Graphics 600,Windows 11 Pro,8,Intel Pentium,10.1,2400,White,onda,6599,256,1,1,4,5,5,2,5,2,5,2
LENOVO YOGA 7,1.5,Intel Arc Graphics,Windows 11 Home,16,Intel Core Ultra 7,14.0,7467,Blue,lenovo,54999,512,1,1,4,1,5,1,3,4,4,2
LENOVO IDEAPAD 1 15ALC7,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,17812,512,3,4,2,5,2,4,5,5,3,4
HP 250 G9 9M3G5AT,1.0,Intel Iris Xe Graphics,FreeDos,8,Intel Core i5,15.6,3200,Grey,hp,16120,512,5,2,4,3,5,2,4,1,5,5
LENOVO IDEAPAD 1 15ALC7,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,16720,512,1,1,2,3,5,5,2,5,3,5
ACER EXTENSA 15,1.5,Intel HD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,"Dark Gray, Black",acer,18793,512,5,1,1,3,4,1,5,5,5,5
LENOVO NB V15,1.5,Shared,Windows 11 Pro,16,AMD Ryzen 5,15.6,4800,Black,lenovo,17699,512,3,1,2,5,5,5,4,5,3,4
CASPER NIRVANA X600 1245 DF00X G F,1.5,Shared,FreeDos,32,Intel Core i5,15.6,3200,Grey,casper,18699,1024,2,1,4,1,5,3,5,1,4,4
DELL VOSTRO 3530,1.5,Intel UHD Graphics,FreeDos,32,Intel Core i7,15.6,3200,Black,dell,26029,1024,1,4,1,3,5,5,5,5,5,3
LENOVO IDEAPAD GAMING 3,3.0,Nvidia GeForce RTX 2050,FreeDos,16,AMD Ryzen 5,15.6,3200,Black,lenovo,23176,512,1,1,4,3,1,4,2,5,5,4
ACER NITRO ANV15 51,3.0,Nvidia GeForce RTX 2050,Windows 11 Home,8,Intel Core i5,15.6,4800,Black,acer,25899,512,3,1,4,5,5,5,2,5,5,5
ASUS VIVOBOOK S 14 FLIP TP3402VA LZ187W,1.5,Intel HD Graphics,Windows 11 Home,16,Intel Core i5,14.0,3200,Silver,asus,39499,512,3,4,4,5,4,4,5,3,5,1
ASUS VIVOBOOK 15 X1504ZA NJ1024,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i5,15.6,3200,Silver,asus,22411,512,5,1,2,1,4,5,5,3,1,5
LENOVO IDEAPAD 1,1.5,Intel UHD Graphics 600,FreeDos,8,Intel Celeron,15.6,2400,Grey,lenovo,11749,256,2,1,4,4,3,5,4,4,2,4
